,website,date,city,STATE,category of place,Nazi Reference,target,location,place,"('latitude', 'longitude')"
31,https://www.chicagotribune.com/suburbs/northbrook/ct-nbs-northbrook-youth-tl-0202-20170130-story.html,2016-04-14,Northbrook,IL,K-12,No,Asian American Community,"Northbrook, IL","Northbrook, Cook County, Illinois, 60062, United States of America","(42.1299234, -87.8299476)"
32,https://www.usatoday.com/story/news/nation-now/2016/04/15/property-owners-nazi-flag-upsets-neighbors-tenn/83113360/,2016-04-15,Springfield,TN,private property,No,,"Springfield, TN","Springfield, نهج الشادلي قلالة, المدينة, المنستير, 5000, تونس","(35.7701586, 10.8387613)"
33,https://www.wrtv.com/news/local-news/iu-fraternity-vandalized-with-swastika-smiley-face,2016-04-22,Bloomington,IA,college,No,,"Bloomington, IA","Bloomington Lane, Muscatine, Muscatine County, Iowa, 52761, United States of America","(41.413494, -91.076848)"
34,https://time.com/5249811/neo-nazis-burn-swastika-georgia/,2016-04-23,Cedartown,GA,park,No,,"Cedartown, GA","Cedartown, Polk County, Georgia, 30125, United States of America","(34.0124425, -85.2559398)"
35,https://www.timesofisrael.com/swastikas-spray-painted-at-park-school-in-largely-jewish-dc-suburb/,2016-04-24,Rockville,MD,park,No,Jewish Community,"Rockville, MD","Rockville, Montgomery County, Maryland, United States of America","(39.0840054, -77.1527573)"
36,http://newyork.cbslocal.com/2016/04/27/painted-swastikas-marine-park/,2016-04-27,Brooklyn,NY,private property,No,,"Brooklyn, NY","BK, Kings County, NYC, New York, 11226, United States of America","(40.6501038, -73.9495823)"
37,http://www.chicagotribune.com/news/nationworld/midwest/ct-uofi-swastikas-20160502-story.html,2016-04-28,Champaign,IL,college,No,,"Champaign, IL","Champaign, Champaign County, Illinois, United States of America","(40.1164205, -88.2433829)"
38,http://www.cbsnews.com/news/swastikas-noose-found-on-university-of-illinois-campus/,2016-04-29,Urbana,IL,college,No,,"Urbana, IL","Urbana, Champaign County, Illinois, United States of America","(40.1117174, -88.207301)"
39,https://www.orlandosentinel.com/news/education/os-swastika-graffiti-lake-brantley-high-school-20161220-story.html,2016-05-01,Altamonte Springs,FL,K-12,No,,"Altamonte Springs, FL","Altamonte Springs, Seminole County, Florida, United States of America","(28.6649055, -81.376268613721)"
40,http://thejewishchronicle.net/view/full_story/27199001/article-Catholic-students-learn-that-hate-can-hurt,2016-05-20,Oakland,CA,K-12,No,,"Oakland, CA","Oakland, Ontario, N0E 1L0, Canada","(43.0317491, -80.3310713)"
41,https://boston.cbslocal.com/2017/05/26/duxbury-schools-have-swastika-vandalism/,2016-05-25,Duxbury,MA,K-12,No,,"Duxbury, MA","Duxbury, Plymouth County, Massachusetts, United States of America","(42.0417695, -70.672259)"
42,http://projects.registerguard.com/rg/news/local/34426320-75/eugene-school-officials-respond-quickly-to-nazi-graffiti-at-former-crest-drive-elementary-school.html.csp,2016-05-30,Eugene,OR,K-12,No,,"Eugene, OR","Eugene, Lane County, Oregon, United States of America","(44.0505054, -123.0950506)"
43,https://variety.com/2016/tv/news/stephen-colbert-draws-swastika-for-donald-trump-late-show-1201796206/,2016-06-15,New York,NY,private property,No,,"New York, NY","NYC, New York, United States of America","(40.7306458, -73.9866136)"
44,https://www.oregonlive.com/portland/2017/01/nazi_and_anti-feminist_graffit.html,2016-06-20,Fernandina Beach,FL,public space,Yes,,"Fernandina Beach, FL","Fernandina Beach, Nassau County, Florida, 32035, United States of America","(30.6696818, -81.4625919)"
45,https://www.fox2detroit.com/news/swastikas-satanic-symbol-graffiti-left-on-community-buildings-in-highland,2016-06-21,Highland Township,MI,local business,No,,"Highland Township, MI","Highland Township, Oakland County, Michigan, United States of America","(42.650205, -83.6220262550463)"
46,https://www.courant.com/la-me-ln-ejected-blade-20160621-snap-story.html,2016-06-21,Los Angeles,CA,public facility,No,,"Los Angeles, CA","LA, Los Angeles County, California, United States of America","(34.054935, -118.244476)"
47,https://minnesota.cbslocal.com/2016/06/30/lauderdale-nazi-flag/,2016-07-01,Lauderdale,MN,private property,No,,"Lauderdale, MN","Lauderdale, Ramsey County, Minnesota, 55108:55113, United States of America","(44.994328, -93.2018736)"
48,https://philadelphia.cbslocal.com/2016/07/19/mount-laurel-hate-crime/,2016-07-19,Mount Laurel,NJ,private property,No,Jewish Community,"Mount Laurel, NJ","Mount Laurel, Burlington County, New Jersey, 08053-5510, United States of America","(39.934002, -74.8909988)"
49,http://www.lohud.com/story/news/local/2017/02/07/swastikas-painted-over-trees-new-city-woods/97610650/,2016-07-24,Clarkstown,NY,public space,No,,"Clarkstown, NY","NY 59, Nanuet, Town of Clarkstown, Rockland County, New York, 10977, United States of America","(41.0922638, -73.9983731)"
50,https://www.denverpost.com/2016/07/25/swastika-tattoos-covered/,2016-07-25,Las Vegas,NV,government property,yes,,"Las Vegas, NV","Las Vegas, Clark County, Nevada, United States of America","(36.1662859, -115.149225)"
51,https://www.dailycamera.com/2016/07/27/swastikas-painted-on-graffiti-covered-fence-in-longmont/,2016-07-27,Longmont,CO,private property,No,,"Longmont, CO","Longmont, Boulder County, Colorado, 80501, United States of America","(40.1672117, -105.1019287)"
52,http://jewishexponent.com/2016/08/31/two-antisemitic-incidents-reported-to-police-in-recent-days-across-area/,2016-08-19,Havertown,NJ,private property,yes,Jewish Community,"Havertown, NJ",,"(0, 0)"
53,http://jewishexponent.com/2016/08/31/two-antisemitic-incidents-reported-to-police-in-recent-days-across-area/,2016-08-25,Lakewood,NJ,K-12,No,Jewish Community,"Lakewood, NJ","Lakewood, Lexington Avenue, Lakewood Township, Ocean County, New Jersey, 08701, United States of America","(40.092024, -74.2121964562147)"
54,http://www.nj.com/monmouth/index.ssf/2016/08/swastikas_found_painted_in_nj_park_police_say.html,2016-08-29,Howell,NJ,park,No,,"Howell, NJ","Howell, Monmouth County, New Jersey, 07731, United States of America","(40.1659101, -74.1911588)"
55,http://fox5sandiego.com/2016/09/01/vandals-paint-swastikas-on-park-view-elementary/,2016-08-30,Rancho Penasquitos,CA,K-12,No,,"Rancho Penasquitos, CA","Rancho Peñasquitos, San Diego County, California, 92129, United States of America","(32.9577102, -117.1285395)"
56,https://swarthmorephoenix.com/2016/09/05/spray-painting-incident-prompts-response-from-deans-office-bias-response-team/,2016-08-30,Swarthmore,PA,college,No,,"Swarthmore, PA","Swarthmore, Delaware County, Pennsylvania, 19081, United States of America","(39.9020565, -75.3499124)"
58,https://www.sanjoseinside.com/news/swastikas-hate-speech-found-in-san-jose-state-dorm-rooms/,2016-09-20,San Jose,CA,college,No,,"San Jose, CA","San Jose Diridon, Laurel Grove Lane, Plant 51, Buena Vista, San José, Santa Clara County, California, 95110, United States of America","(37.3297085, -121.9031599)"
59,https://thehoya.com/racist-gumc-vandalism-investigated/,2016-09-21,Washington,DC,college,No,Black American Community,"Washington, DC","Washington, District of Columbia, United States of America","(38.8949549, -77.0366456)"
60,https://www.chicagotribune.com/suburbs/river-forest/ct-rfl-dominican-swastika-tl-0202-20170124-story.html,2016-09-26,River Forest,IL,college,No,,"River Forest, IL","River Forest, Cook County, Illinois, United States of America","(41.8978091, -87.8139483)"
61,http://ktla.com/2016/09/29/hate-crimes-in-l-a-county-on-the-rise-jump-24-percent-new-report-says/,2016-09-29,Hollywood,CA,K-12,No,Jewish Community,"Hollywood, CA","Hollywood, Assembly Way, Metropolis at Metrotown, Metrotown, Burnaby, Metro Vancouver, British Columbia, V5H 4M1, Canada","(49.2270892, -123.0008188)"
62,https://www.wwlp.com/news/swastikas-racial-slurs-trump-spray-painted-on-boats-in-longmeadow/,2016-09-29,Longmeadow,MA,local business,No,Black American Community,"Longmeadow, MA","Longmeadow, Hampden, Massachusetts, 01106, United States of America","(42.0500953, -72.5828662)"
63,http://wjla.com/news/local/nineteenth-century-african-american-school-vandalized-with-swastikas-other-vulgar-images,2016-09-30,Ashburn,VA,abandoned structure,No,Black American Community,"Ashburn, VA","Ashburn, Loudoun County, Virginia, United States of America","(39.0437192, -77.4874899)"
64,https://www.dnainfo.com/chicago/20161003/pilsen/swastika-threats-scrawled-on-pilsen-church-window-again-pastor-says,2016-10-01,Chicago,IL,religious institution,No,Immigrant,"Chicago, IL","Chicago, Cook County, Illinois, United States of America","(41.8755546, -87.6244212)"
65,http://www.newsweek.com/racist-defaced-mosque-swastika-and-muslims-paid-his-fine-keep-him-out-jail-767691,2016-10-01,Fort Smith,AR,religious institution,No,Muslim Community,"Fort Smith, AR","Fort Smith, Sebastian County, Arkansas, United States of America","(35.3872218, -94.4248983)"
66,https://www.kiro7.com/news/local/seattle-university-students-notified-of-swastikas-on-campus/459516393,2016-10-01,Seattle,WA,college,Yes,,"Seattle, WA","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624)"
67,http://projects.registerguard.com/rg/news/local/34850780-75/man-accused-of-broadcasting-hate-messages-from-loudspeaker-on-roof.html.csp,2016-10-01,Springfield,OR,park,No,Non-White,"Springfield, OR","Springfield, Lane County, Oregon, 97477, United States of America","(44.0462362, -123.0220289)"
68,https://www.post-gazette.com/local/south/2016/12/03/Mt-Lebanon-police-probing-racist-antisemitic-graffiti-at-schools-and-football-field/stories/201612030059,2016-10-02,Mt. Lebanon,PA,K-12,No,,"Mt. Lebanon, PA","Mount Lebanon, Allegheny County, Pennsylvania, United States of America","(40.3765, -80.0508)"
69,http://themacweekly.com/2016/10/swastika-found-on-campus/,2016-10-04,Saint Paul,MN,college,No,,"Saint Paul, MN","Beaupréau, Saint-Paul, Cholet, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49600, France","(47.2378589, -1.0137777)"
70,https://www.marinij.com/2016/10/09/hate-incidents-on-campus-prompt-new-school-focus/,2016-10-09,Larkspur,CA,K-12,No,,"Larkspur, CA","Larkspur, Edmonton, Alberta, T6T 1J9, Canada","(53.4823036, -113.3813065)"
71,http://www.chicagotribune.com/suburbs/river-forest/news/ct-rfl-dominican-swastika-tl-0202-20170124-story.html,2016-10-10,River Forest,IL,college,No,,"River Forest, IL","River Forest, Cook County, Illinois, United States of America","(41.8978091, -87.8139483)"
72,http://www.bethesdamagazine.com/Bethesda-Beat/Web-2016/Police-Seek-Help-Identifying-Vehicle-after-Vandalism-at-Quince-Orchard-High-School-Football-Field/,2016-10-13,Gaithersburg,MD,K-12,No,,"Gaithersburg, MD","Gaithersburg, Montgomery County, Maryland, United States of America","(39.1434406, -77.2013705)"
73,https://www.nydailynews.com/news/crime/cops-nab-man-20-allegedly-covered-campus-swastikas-article-1.2918012,2016-10-15,Garden City,NY,college,No,Jewish Community,"Garden City, NY","Garden City, Nassau County, New York, United States of America","(40.7266477, -73.6343052)"
74,http://www.nbcconnecticut.com/news/local/Police-Investigate-Multiple-Reports-of-Swastika-Vandalism-in-Danbury-401139805.html,2016-10-24,Danbury,CT,local business,No,,"Danbury, CT","Danbury, Fairfield County, Connecticut, United States of America","(41.394817, -73.4540111)"
75,https://www.politico.com/states/new-york/city-hall/story/2016/11/brooklyn-college-president-outsiders-stoke-israel-palestine-furor-106947,2016-10-25,Brooklyn,NY,college,No,,"Brooklyn, NY","BK, Kings County, NYC, New York, 11226, United States of America","(40.6501038, -73.9495823)"
76,http://pittsburgh.cbslocal.com/2016/10/31/pennsylvania-church-hit-with-anti-trump-graffiti/,2016-10-29,East Stroudsburg,PA,religious institution,No,Trump Supporter,"East Stroudsburg, PA","East Stroudsburg, Monroe County, Pennsylvania, United States of America","(41.0036462, -75.176665811068)"
77,http://koin.com/2016/10/31/pastor-finds-opportunity-in-church-hate-crimes/,2016-10-31,Longview,WA,religious institution,No,,"Longview, WA","Longview, Cowlitz County, Washington, United States of America","(46.1377048, -122.9344623)"
78,http://koin.com/2016/10/31/pastor-finds-opportunity-in-church-hate-crimes/,2016-10-31,Longview,WA,religious institution,No,Black American Community,"Longview, WA","Longview, Cowlitz County, Washington, United States of America","(46.1377048, -122.9344623)"
79,http://www.orlandosentinel.com/news/politics/political-pulse/os-osceola-campaign-signs-defaced-with-nazi-sticker-20161031-story.html,2016-10-31,Osceola,FL,public space,No,,"Osceola, FL","Osceola County, Florida, United States of America","(28.0443842, -81.1437541)"
80,https://www.fastcodesign.com/3065072/whos-behind-that-anti-trump-art,2016-10-31,San Francisco,CA,public space,No,Trump Supporter,"San Francisco, CA","San Francisco, Rue Bouvier, Plateau Lebourgneuf, Québec, Québec (Agglomération), Québec, G2J 0B5, Canada","(46.8443248, -71.2743272)"
81,http://wjla.com/news/crime/officials-2nd-md-school-becomes-target-of-hate-crime-in-less-than-a-month,2016-11-01,Bethesda,MD,K-12,No,Jewish Community,"Bethesda, MD","Bethesda, Montgomery County, Maryland, 22814, United States of America","(38.9848265, -77.0946459)"
83,https://concord.wickedlocal.com/news/20170508/swastika-found-in-bathroom-at-concord-carlisle-high-school,2016-11-04,Concord,MA,K-12,No,,"Concord, MA","Concord, Middlesex County, Massachusetts, United States of America","(42.4605189, -71.3488963)"
84,http://www.wellsvilledaily.com/news/20161111/wellsville-softball-field-dugout-marked-with-swastika-graffiti,2016-11-08,Wellsville,NY,park,No,Non-White,"Wellsville, NY","Wellsville, Allegany County, New York, United States of America","(42.1220125, -77.9480575)"
85,https://www.abqjournal.com/885573/anti-trump-graffiti-defaces-unm-sculpture-elsewhere-on-campus.html,2016-11-09,Albuquerque,NM,college,No,Trump Supporter,"Albuquerque, NM","ABQ, Bernalillo County, New Mexico, United States of America","(35.0841034, -106.6509851)"
86,http://www.burlingtonfreepress.com/story/entertainment/2016/11/10/swastika-painted-trump-sign-found-uvm/93608528/,2016-11-09,Burlington,VT,college,No,,"Burlington, VT","Burlington, Chittenden County, Vermont, United States of America","(44.4723989, -73.2114941)"
87,http://www.citypages.com/news/maple-grove-students-greeted-with-fuck-niggers-the-day-after-election/400601921,2016-11-09,Maple Grove,MN,K-12,No,Black American Community,"Maple Grove, MN","Maple Grove, Hennepin County, Minnesota, United States of America","(45.0759797, -93.4561052)"
88,https://www.edweek.org/ew/projects/hate-in-schools.html,2016-11-09,Newton,PA,K-12,No,LGBTQ,"Newton, PA","Newton, Houston County, Alabama, 36301, United States of America","(31.1626776, -85.3954888)"
89,https://www.edweek.org/ew/projects/hate-in-schools.html,2016-11-09,Newton,PA,K-12,No,,"Newton, PA","Newton, Houston County, Alabama, 36301, United States of America","(31.1626776, -85.3954888)"
90,http://www.thedp.com/article/2016/11/swastikas-south-philidelphia,2016-11-09,Philadelphia,PA,public space,No,,"Philadelphia, PA","Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.9523993, -75.1635899)"
91,http://www.nbcbayarea.com/news/local/Nazi-Flag-Skull-Spotted-at-San-Francisco-House-400600901.html,2016-11-09,San Francisco,CA,private property,No,Trump Supporter,"San Francisco, CA","San Francisco, Rue Bouvier, Plateau Lebourgneuf, Québec, Québec (Agglomération), Québec, G2J 0B5, Canada","(46.8443248, -71.2743272)"
92,http://fox59.com/2016/11/11/swastika-kkk-graffiti-found-along-bloomingtons-b-line-trail/,2016-11-10,Bloomington,IA,public space,No,,"Bloomington, IA","Bloomington Lane, Muscatine, Muscatine County, Iowa, 52761, United States of America","(41.413494, -91.076848)"
93,http://www.philly.com/philly/education/400732361.html,2016-11-10,Fairless Hills,PA,K-12,No,Trump Supporter,"Fairless Hills, PA","Fairless Hills, Chelsea Place, Falls Township, Bucks County, Pennsylvania, 19030, United States of America","(40.178142, -74.8564445940215)"
94,http://www.jamaicaplainnews.com/2016/11/11/swastika-cut-into-recycling-bin-on-wenham-street/22353,2016-11-10,Jamaica Plain,MA,private property,No,,"Jamaica Plain, MA","Jamaica Plain, Boston, Suffolk County, Massachusetts, 02130, United States of America","(42.3098201, -71.1203299)"
95,https://billypenn.com/2016/11/14/fishtown-moms-inspired-by-oitnb-transform-playground-swastika/,2016-11-10,Philadelphia,PA,community center,No,,"Philadelphia, PA","Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.9523993, -75.1635899)"
96,http://koin.com/2016/11/13/hateful-racist-messages-left-in-reed-college-library/,2016-11-10,Portland,OR,college,No,Non-White,"Portland, OR","Portland, Multnomah County, Oregon, United States of America","(45.5202471, -122.6741949)"
97,http://www.bellevuereporter.com/news/bellevue-police-investigating-swastika-graffiti-in-downtown-park/,2016-11-11,Bellevue,WA,park,No,,"Bellevue, WA","Bellevue, King County, Washington, United States of America","(47.6144219, -122.1923372)"
98,http://www.bethesdamagazine.com/Bethesda-Beat/Web-2016/Swastikas-Drawn-in-Boys-Bathroom-at-Westland-Middle-School/,2016-11-11,Bethesda,MD,K-12,No,,"Bethesda, MD","Bethesda, Montgomery County, Maryland, 22814, United States of America","(38.9848265, -77.0946459)"
99,https://www.gazettenet.com/Easthampton-residents-come-together-to-clean-hateful-graffiti-off-Mt-Tom-5973815,2016-11-11,East Hampton,MA,public space,No,Jewish Community,"East Hampton, MA","East Hampton, Suffolk County, New York, 11937, United States of America","(40.9637919, -72.1851729)"
100,http://wjla.com/news/local/swastikas-scratched-onto-vehicle-in-virginia,2016-11-11,Franconia,VA,local business,No,Non-White,"Franconia, VA","Franconia, Fairfax County, Virginia, 22315, United States of America","(38.7819103, -77.1461387)"
101,http://www.twcnews.com/nys/rochester/news/2016/11/12/swastika-and-trump-graffiti-found-in-geneseo-campus-dorm.html,2016-11-11,Geneseo,NY,college,No,,"Geneseo, NY","Geneseo, Geneseo Town, Livingston County, New York, United States of America","(42.795896, -77.816947)"
102,http://www.thestranger.com/slog/2016/11/14/24690932/a-swastika-appears-in-capitol-hill-the-after-effects-of-trump-are-real,2016-11-11,Seattle,WA,public space,No,LGBTQ,"Seattle, WA","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624)"
103,https://www.washingtonian.com/2016/11/11/swastika-drawing-words-go-trump-reported-american-university/,2016-11-11,Washington,DC,college,No,,"Washington, DC","Washington, District of Columbia, United States of America","(38.8949549, -77.0366456)"
104,http://dailycaller.com/2017/05/04/yet-another-hate-crime-turns-out-to-be-a-hoax/,2016-11-12,Bean Blossom,IN,religious institution,No,LGBTQ,"Bean Blossom, IN","Bean Blossom, Beanblossom, Brown County, Indiana, 47448, United States of America","(39.2607554, -86.2552464)"
105,http://www.nydailynews.com/new-york/manhattan/series-swastika-graffiti-found-nyc-new-school-dorm-article-1.2870704,2016-11-12,New York,NY,college,No,Jewish Community,"New York, NY","NYC, New York, United States of America","(40.7306458, -73.9866136)"
106,http://thedmonline.com/student-reports-swastika-drawn-dormitory-elevator/,2016-11-12,Oxford,MS,college,No,,"Oxford, MS","Oxford, Lafayette County, Mississippi, United States of America","(34.3664127, -89.5187664)"
107,http://www.pennlive.com/news/2016/11/susquehanna_president_deeply_c.html,2016-11-12,Selinsgrove,PA,college,No,,"Selinsgrove, PA","Selinsgrove, Snyder County, Pennsylvania, United States of America","(40.8062437, -76.8607084)"
108,http://www.spokesman.com/stories/2016/nov/16/police-investigate-swastika-spray-painted-on-logan/,2016-11-12,Spokane,WA,private property,No,Latinx Community,"Spokane, WA","Spokane, Spokane County, Washington, United States of America","(47.6579425, -117.4212265)"
109,http://www.nydailynews.com/new-york/brooklyn/swastika-spray-painted-heart-jewish-area-brooklyn-article-1.2871400,2016-11-13,Brooklyn,NY,public space,No,Jewish Community,"Brooklyn, NY","BK, Kings County, NYC, New York, 11226, United States of America","(40.6501038, -73.9495823)"
110,https://patch.com/new-jersey/fairlawn-saddlebrook/man-arrested-after-swastikas-found-fair-lawn-residence-police,2016-11-13,Fair Lawn,NJ,public space,No,,"Fair Lawn, NJ","Fair Lawn, Bergen County, New Jersey, 07410, United States of America","(40.9403762, -74.1318096)"
111,http://www.timesunion.com/local/article/Another-swastika-found-in-Saratoga-Springs-10640967.php,2016-11-14,Saratoga Springs,NY,public space,No,,"Saratoga Springs, NY","Saratoga Springs, Saratoga County, New York, 12866, United States of America","(43.0821793, -73.7853915)"
